channels,tCK_ns,reads,sustained_gbs,latency_ns,issue_ceiling_gbs,issue_limited,grade,requested_channels
1,1.07,196608,12.76,237.9,59.8,False,DDR4-1866,1
2,1.07,196608,13.05,235.4,59.8,False,DDR4-1866,2
4,1.07,196608,13.33,235.4,59.8,False,DDR4-1866,4
1,0.94,196608,13.24,228.9,68.1,False,DDR4-2133,1
2,0.94,196608,13.5,227.3,68.1,False,DDR4-2133,2
4,0.94,196608,13.79,227.3,68.1,False,DDR4-2133,4
1,0.83,196608,14.96,202.9,77.1,False,DDR4-2400,1
2,0.83,196608,15.25,201.8,77.1,False,DDR4-2400,2
4,0.83,196608,15.58,201.8,77.1,False,DDR4-2400,4
1,0.75,196608,15.29,197.3,85.3,False,DDR4-2666,1
2,0.75,196608,15.49,198.0,85.3,False,DDR4-2666,2
4,0.75,196608,15.83,198.0,85.3,False,DDR4-2666,4
1,0.68,196608,15.65,192.9,94.1,False,DDR4-2933,1
2,0.68,196608,15.9,192.0,94.1,False,DDR4-2933,2
4,0.68,196608,16.24,192.0,94.1,False,DDR4-2933,4
1,0.63,196608,16.88,179.4,101.6,False,DDR4-3200,1
2,0.63,196608,17.12,179.2,101.6,False,DDR4-3200,2
4,0.63,196608,17.49,179.2,101.6,False,DDR4-3200,4
