sweep,residency,offloaded_fraction,experts_offloaded,depth,batch_tokens,peak_vram_gb,tokens,wall_seconds,tokens_per_second,gb_streamed,achieved_gbs,stall_seconds,stall_fraction,note
residency,1.0,0.0,0,2,4096,14.84,12288,0.5875,20916.6,0.0,0.0,0.0,0.0,baseline
residency,0.6,0.406,26,2,4096,10.59,12288,0.724,16972.3,15.703,21.69,,,stall not collected
residency,0.4,0.594,38,2,4096,8.62,12288,0.8158,15062.3,22.951,28.13,,,stall not collected
residency,0.3,0.703,45,2,4096,7.48,12288,0.8009,15341.8,27.179,33.93,0.0258,0.0323,
residency,0.2,0.797,51,2,4096,6.50,12288,0.8672,14169.5,30.803,35.52,0.0593,0.0684,
residency,0.1,0.906,58,2,4096,5.35,12288,0.9641,12745.4,35.031,36.33,0.1464,0.1518,
residency,0.0,1.0,64,2,4096,4.37,12288,1.065,11538.4,38.655,36.3,0.2259,0.2121,
depth,0.4,0.594,38,0,4096,7.67,12288,0.8062,15242.1,22.951,28.47,0.0005,0.0006,INVALID: depth 0 races on single ring buffer
depth,0.4,0.594,38,1,4096,8.14,12288,0.8304,14797.8,22.951,27.64,0.0197,0.0237,
depth,0.4,0.594,38,2,4096,8.62,12288,0.8233,14926.0,22.951,27.88,0.0187,0.0228,
depth,0.4,0.594,38,4,4096,9.58,12288,0.837,14680.8,22.951,27.42,0.0196,0.0234,
depth,0.4,0.594,38,8,4096,11.49,12288,0.8631,14237.8,22.951,26.59,0.0197,0.0228,
batch,1.0,0.0,0,2,512,13.99,1536,0.2877,5339.7,0.0,0.0,0.0,0.0,baseline
batch,1.0,0.0,0,2,1024,14.11,3072,0.3341,9193.8,0.0,0.0,0.0,0.0,baseline
batch,1.0,0.0,0,2,4096,14.84,12288,0.5875,20916.6,0.0,0.0,0.0,0.0,baseline
batch,1.0,0.0,0,2,16384,17.73,49152,1.8291,26872.6,0.0,0.0,0.0,0.0,baseline
batch,0.3,0.703,45,2,512,6.63,1536,0.7509,2045.6,27.179,36.2,0.2376,0.3164,
batch,0.3,0.703,45,2,1024,6.75,3072,0.8148,3770.5,27.179,33.36,0.2158,0.2649,
batch,0.3,0.703,45,2,4096,7.48,12288,0.8409,14613.6,27.179,32.32,0.0219,0.0261,
batch,0.3,0.703,45,2,16384,10.37,49152,1.9376,25367.3,27.179,14.03,0.0014,0.0007,
headline,0.0,1.0,64,2,16384,7.27,49152,1.9913,24683.6,38.655,19.41,0.0133,0.0067,full offload at prefill scale
