model,batch_size,distinct_experts_per_layer,coverage_frac,bytes_per_batch_MB,bytes_per_token_MB,amortisation_vs_b1
OLMoE-1B-7B,1,8.0,0.125,1536.0,1536.0,1.0
OLMoE-1B-7B,4,21.52,0.336,4131.06,1032.764,1.5
OLMoE-1B-7B,16,44.66,0.698,8574.71,535.919,2.9
OLMoE-1B-7B,64,62.13,0.971,11928.13,186.377,8.2
OLMoE-1B-7B,256,64.0,1.0,12287.86,47.999,32.0
OLMoE-1B-7B,1024,64.0,1.0,12288.0,12.0,128.0
OLMoE-1B-7B,4096,64.0,1.0,12288.0,3.0,512.0
OLMoE-1B-7B,16384,64.0,1.0,12288.0,0.75,2048.0
Mixtral-8x7B,1,2.0,0.25,21504.0,21504.0,1.0
Mixtral-8x7B,4,4.84,0.605,52035.23,13008.808,1.7
Mixtral-8x7B,16,7.5,0.938,80662.8,5041.425,4.3
Mixtral-8x7B,64,8.0,1.0,85999.92,1343.749,16.0
Mixtral-8x7B,256,8.0,1.0,86016.0,336.0,64.0
Mixtral-8x7B,1024,8.0,1.0,86016.0,84.0,256.0
Mixtral-8x7B,4096,8.0,1.0,86016.0,21.0,1024.0
Mixtral-8x7B,16384,8.0,1.0,86016.0,5.25,4096.0
Qwen3-235B-A22B,1,8.0,0.062,27072.0,27072.0,1.0
Qwen3-235B-A22B,4,23.56,0.184,79726.23,19931.558,1.4
Qwen3-235B-A22B,16,57.88,0.452,195868.71,12241.794,2.2
Qwen3-235B-A22B,64,105.71,0.826,357715.83,5589.31,4.8
Qwen3-235B-A22B,256,127.32,0.995,430867.41,1683.076,16.1
Qwen3-235B-A22B,1024,128.0,1.0,433152.0,423.0,64.0
Qwen3-235B-A22B,4096,128.0,1.0,433152.0,105.75,256.0
Qwen3-235B-A22B,16384,128.0,1.0,433152.0,26.438,1024.0
DeepSeek-V3,1,8.0,0.031,38976.0,38976.0,1.0
DeepSeek-V3,4,25.02,0.098,121887.58,30471.895,1.3
DeepSeek-V3,16,68.39,0.267,333200.03,20825.002,1.9
DeepSeek-V3,64,152.52,0.596,743069.74,11610.465,3.4
DeepSeek-V3,256,237.77,0.929,1158415.78,4525.062,8.6
DeepSeek-V3,1024,255.93,1.0,1246869.75,1217.646,32.0
DeepSeek-V3,4096,256.0,1.0,1247232.0,304.5,128.0
DeepSeek-V3,16384,256.0,1.0,1247232.0,76.125,512.0
