model,batch_size,target_overhead,t_compute_us,t_fetch_all_us,required_hit_rate,achievable
OLMoE-1B-7B,128,0.05,32.6,15454.4,0.9999,True
OLMoE-1B-7B,128,0.1,32.6,15454.4,0.9998,True
OLMoE-1B-7B,128,0.25,32.6,15454.4,0.9995,True
OLMoE-1B-7B,128,0.5,32.6,15454.4,0.9989,True
OLMoE-1B-7B,512,0.05,130.3,15486.7,0.9996,True
OLMoE-1B-7B,512,0.1,130.3,15486.7,0.9992,True
OLMoE-1B-7B,512,0.25,130.3,15486.7,0.9979,True
OLMoE-1B-7B,512,0.5,130.3,15486.7,0.9958,True
OLMoE-1B-7B,2048,0.05,521.1,15486.7,0.9983,True
OLMoE-1B-7B,2048,0.1,521.1,15486.7,0.9966,True
OLMoE-1B-7B,2048,0.25,521.1,15486.7,0.9916,True
OLMoE-1B-7B,2048,0.5,521.1,15486.7,0.9832,True
OLMoE-1B-7B,8192,0.05,2084.5,15486.7,0.9933,True
OLMoE-1B-7B,8192,0.1,2084.5,15486.7,0.9865,True
OLMoE-1B-7B,8192,0.25,2084.5,15486.7,0.9663,True
OLMoE-1B-7B,8192,0.5,2084.5,15486.7,0.9327,True
Mixtral-8x7B,128,0.05,228.0,54203.3,0.9998,True
Mixtral-8x7B,128,0.1,228.0,54203.3,0.9996,True
Mixtral-8x7B,128,0.25,228.0,54203.3,0.9989,True
Mixtral-8x7B,128,0.5,228.0,54203.3,0.9979,True
Mixtral-8x7B,512,0.05,912.0,54203.3,0.9992,True
Mixtral-8x7B,512,0.1,912.0,54203.3,0.9983,True
Mixtral-8x7B,512,0.25,912.0,54203.3,0.9958,True
Mixtral-8x7B,512,0.5,912.0,54203.3,0.9916,True
Mixtral-8x7B,2048,0.05,3647.9,54203.3,0.9966,True
Mixtral-8x7B,2048,0.1,3647.9,54203.3,0.9933,True
Mixtral-8x7B,2048,0.25,3647.9,54203.3,0.9832,True
Mixtral-8x7B,2048,0.5,3647.9,54203.3,0.9663,True
Mixtral-8x7B,8192,0.05,14591.6,54203.3,0.9865,True
Mixtral-8x7B,8192,0.1,14591.6,54203.3,0.9731,True
Mixtral-8x7B,8192,0.25,14591.6,54203.3,0.9327,True
Mixtral-8x7B,8192,0.5,14591.6,54203.3,0.8654,True
Qwen3-235B-A22B,128,0.05,97.7,88316.4,0.9999,True
Qwen3-235B-A22B,128,0.1,97.7,88316.4,0.9999,True
Qwen3-235B-A22B,128,0.25,97.7,88316.4,0.9997,True
Qwen3-235B-A22B,128,0.5,97.7,88316.4,0.9994,True
Qwen3-235B-A22B,512,0.05,390.8,92909.8,0.9998,True
Qwen3-235B-A22B,512,0.1,390.8,92909.8,0.9996,True
Qwen3-235B-A22B,512,0.25,390.8,92909.8,0.9989,True
Qwen3-235B-A22B,512,0.5,390.8,92909.8,0.9979,True
Qwen3-235B-A22B,2048,0.05,1563.4,92920.0,0.9992,True
Qwen3-235B-A22B,2048,0.1,1563.4,92920.0,0.9983,True
Qwen3-235B-A22B,2048,0.25,1563.4,92920.0,0.9958,True
Qwen3-235B-A22B,2048,0.5,1563.4,92920.0,0.9916,True
Qwen3-235B-A22B,8192,0.05,6253.5,92920.0,0.9966,True
Qwen3-235B-A22B,8192,0.1,6253.5,92920.0,0.9933,True
Qwen3-235B-A22B,8192,0.25,6253.5,92920.0,0.9832,True
Qwen3-235B-A22B,8192,0.5,6253.5,92920.0,0.9663,True
DeepSeek-V3,128,0.05,256.5,340848.1,1.0,True
DeepSeek-V3,128,0.1,256.5,340848.1,0.9999,True
DeepSeek-V3,128,0.25,256.5,340848.1,0.9998,True
DeepSeek-V3,128,0.5,256.5,340848.1,0.9996,True
DeepSeek-V3,512,0.05,1026.0,429310.6,0.9999,True
DeepSeek-V3,512,0.1,1026.0,429310.6,0.9998,True
DeepSeek-V3,512,0.25,1026.0,429310.6,0.9994,True
DeepSeek-V3,512,0.5,1026.0,429310.6,0.9988,True
DeepSeek-V3,2048,0.05,4103.9,433624.7,0.9995,True
DeepSeek-V3,2048,0.1,4103.9,433624.7,0.9991,True
DeepSeek-V3,2048,0.25,4103.9,433624.7,0.9976,True
DeepSeek-V3,2048,0.5,4103.9,433624.7,0.9953,True
DeepSeek-V3,8192,0.05,16415.5,433626.5,0.9981,True
DeepSeek-V3,8192,0.1,16415.5,433626.5,0.9962,True
DeepSeek-V3,8192,0.25,16415.5,433626.5,0.9905,True
DeepSeek-V3,8192,0.5,16415.5,433626.5,0.9811,True
