model,batch_size,hit_rate,missing_experts,t_fetch_us,t_layer_us,layers_of_lookahead,feasible_depth<=4
OLMoE-1B-7B,128,0.5,31.93,7736.8,32.6,238,False
OLMoE-1B-7B,128,0.8,12.77,3094.7,32.6,96,False
OLMoE-1B-7B,128,0.9,6.39,1547.4,32.6,48,False
OLMoE-1B-7B,128,0.95,3.19,773.7,32.6,24,False
OLMoE-1B-7B,512,0.5,32.0,7752.9,130.3,60,False
OLMoE-1B-7B,512,0.8,12.8,3101.2,130.3,24,False
OLMoE-1B-7B,512,0.9,6.4,1550.6,130.3,12,False
OLMoE-1B-7B,512,0.95,3.2,775.3,130.3,6,False
OLMoE-1B-7B,2048,0.5,32.0,7752.9,521.1,15,False
OLMoE-1B-7B,2048,0.8,12.8,3101.2,521.1,6,False
OLMoE-1B-7B,2048,0.9,6.4,1550.6,521.1,3,True
OLMoE-1B-7B,2048,0.95,3.2,775.3,521.1,2,True
OLMoE-1B-7B,8192,0.5,32.0,7752.9,2084.5,4,True
OLMoE-1B-7B,8192,0.8,12.8,3101.2,2084.5,2,True
OLMoE-1B-7B,8192,0.9,6.4,1550.6,2084.5,1,True
OLMoE-1B-7B,8192,0.95,3.2,775.3,2084.5,1,True
Mixtral-8x7B,128,0.5,4.0,27102.9,228.0,119,False
Mixtral-8x7B,128,0.8,1.6,10841.1,228.0,48,False
Mixtral-8x7B,128,0.9,0.8,5420.6,228.0,24,False
Mixtral-8x7B,128,0.95,0.4,2710.3,228.0,12,False
Mixtral-8x7B,512,0.5,4.0,27102.9,912.0,30,False
Mixtral-8x7B,512,0.8,1.6,10841.1,912.0,12,False
Mixtral-8x7B,512,0.9,0.8,5420.6,912.0,6,False
Mixtral-8x7B,512,0.95,0.4,2710.3,912.0,3,True
Mixtral-8x7B,2048,0.5,4.0,27102.9,3647.9,8,False
Mixtral-8x7B,2048,0.8,1.6,10841.1,3647.9,3,True
Mixtral-8x7B,2048,0.9,0.8,5420.6,3647.9,2,True
Mixtral-8x7B,2048,0.95,0.4,2710.3,3647.9,1,True
Mixtral-8x7B,8192,0.5,4.0,27102.9,14591.6,2,True
Mixtral-8x7B,8192,0.8,1.6,10841.1,14591.6,1,True
Mixtral-8x7B,8192,0.9,0.8,5420.6,14591.6,1,True
Mixtral-8x7B,8192,0.95,0.4,2710.3,14591.6,1,True
Qwen3-235B-A22B,128,0.5,60.83,44176.5,97.7,453,False
Qwen3-235B-A22B,128,0.8,24.33,17670.6,97.7,181,False
Qwen3-235B-A22B,128,0.9,12.17,8835.3,97.7,91,False
Qwen3-235B-A22B,128,0.95,6.08,4417.6,97.7,46,False
Qwen3-235B-A22B,512,0.5,63.99,46474.1,390.8,119,False
Qwen3-235B-A22B,512,0.8,25.6,18589.6,390.8,48,False
Qwen3-235B-A22B,512,0.9,12.8,9294.8,390.8,24,False
Qwen3-235B-A22B,512,0.95,6.4,4647.4,390.8,12,False
Qwen3-235B-A22B,2048,0.5,64.0,46479.2,1563.4,30,False
Qwen3-235B-A22B,2048,0.8,25.6,18591.7,1563.4,12,False
Qwen3-235B-A22B,2048,0.9,12.8,9295.8,1563.4,6,False
Qwen3-235B-A22B,2048,0.95,6.4,4647.9,1563.4,3,True
Qwen3-235B-A22B,8192,0.5,64.0,46479.2,6253.5,8,False
Qwen3-235B-A22B,8192,0.8,25.6,18591.7,6253.5,3,True
Qwen3-235B-A22B,8192,0.9,12.8,9295.8,6253.5,2,True
Qwen3-235B-A22B,8192,0.95,6.4,4647.9,6253.5,1,True
DeepSeek-V3,128,0.5,100.61,170454.2,256.5,665,False
DeepSeek-V3,128,0.8,40.25,68181.7,256.5,266,False
DeepSeek-V3,128,0.9,20.12,34090.8,256.5,133,False
DeepSeek-V3,128,0.95,10.06,17045.4,256.5,67,False
DeepSeek-V3,512,0.5,126.73,214693.3,1026.0,210,False
DeepSeek-V3,512,0.8,50.69,85877.3,1026.0,84,False
DeepSeek-V3,512,0.9,25.35,42938.7,1026.0,42,False
DeepSeek-V3,512,0.95,12.67,21469.3,1026.0,21,False
DeepSeek-V3,2048,0.5,128.0,216850.7,4103.9,53,False
DeepSeek-V3,2048,0.8,51.2,86740.3,4103.9,22,False
DeepSeek-V3,2048,0.9,25.6,43370.1,4103.9,11,False
DeepSeek-V3,2048,0.95,12.8,21685.1,4103.9,6,False
DeepSeek-V3,8192,0.5,128.0,216851.7,16415.5,14,False
DeepSeek-V3,8192,0.8,51.2,86740.7,16415.5,6,False
DeepSeek-V3,8192,0.9,25.6,43370.3,16415.5,3,True
DeepSeek-V3,8192,0.95,12.8,21685.2,16415.5,2,True
