model,memory,gpu,n_gpus,batch_size,policy,prefetch_depth,prefetch_width,trace_source,label,feasible,hbm_slots,total_slots,resident_frac,hit_rate,expert_hit_rate,prefetch_coverage,bytes_per_token,bytes_per_batch,compute_s,stall_s,overhead,throughput_tok_s,baseline_tok_s,slowdown,n_batches,gpus
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,32,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,2048,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,128,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,512,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,512,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,128,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,8192,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,8,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,32,balanced_static,0,0.0,synthetic,balanced_static,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,2048,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,128,balanced_static,0,0.0,synthetic,balanced_static,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,512,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,512,balanced_static,0,0.0,synthetic,balanced_static,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,128,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,8192,balanced_static,0,0.0,synthetic,balanced_static,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,8,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,512,lru,0,0.0,synthetic,lru,True,5727,49417,1.0,0.9921875,0.9921875,0.0,196608.0,100663296.0,0.266817786315712,0.24809377476923086,0.9298247249367178,127276.22557534456,245620.80701192297,1.9298247249367178,128,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,lru,0,0.0,synthetic,lru,True,5727,49417,1.0,0.96875,0.96875,0.0,196608.0,402653184.0,0.26681778631571357,0.24809377476923086,0.9298247249367123,127276.22557534419,245620.80701192154,1.9298247249367122,32,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,8192,lru,0,0.0,synthetic,lru,True,5727,49417,1.0,0.875,0.875,0.0,196608.0,1610612736.0,0.2668177863157127,0.24809377476923086,0.9298247249367154,127276.2255753444,245620.80701192236,1.9298247249367153,8,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,512,lfu,0,0.0,synthetic,lfu,True,5727,49417,1.0,0.9921875,0.9921875,0.0,196608.0,100663296.0,0.266817786315712,0.24809377476923086,0.9298247249367178,127276.22557534456,245620.80701192297,1.9298247249367178,128,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,2048,lfu,0,0.0,synthetic,lfu,True,5727,49417,1.0,0.96875,0.96875,0.0,196608.0,402653184.0,0.26681778631571357,0.24809377476923086,0.9298247249367123,127276.22557534419,245620.80701192154,1.9298247249367122,32,1
OLMoE-1B-7B,hbm_cxl_local,H100-SXM,1,8192,lfu,0,0.0,synthetic,lfu,True,5727,49417,1.0,0.875,0.875,0.0,196608.0,1610612736.0,0.2668177863157127,0.24809377476923086,0.9298247249367154,127276.2255753444,245620.80701192236,1.9298247249367153,8,1
OLMoE-1B-7B,hbm_cxl_local_pessimistic,H100-SXM,1,32,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,2048,1
OLMoE-1B-7B,hbm_cxl_local_pessimistic,H100-SXM,1,128,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,512,1
OLMoE-1B-7B,hbm_cxl_local_pessimistic,H100-SXM,1,512,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,128,1
OLMoE-1B-7B,hbm_cxl_local_pessimistic,H100-SXM,1,2048,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32,1
OLMoE-1B-7B,hbm_cxl_local_pessimistic,H100-SXM,1,8192,static_popularity,0,0.0,synthetic,static_popularity,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,8,1
OLMoE-1B-7B,hbm_cxl_local_pessimistic,H100-SXM,1,32,balanced_static,0,0.0,synthetic,balanced_static,True,5727,49417,1.0,1.0,1.0,0.0,0.0,0.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,2048,1
