model,expert_hit_rate,target_overhead,critical_batch_tokens
OLMoE-1B-7B,0.0,0.1,608615
OLMoE-1B-7B,0.0,0.25,243446
OLMoE-1B-7B,0.5,0.1,304308
OLMoE-1B-7B,0.5,0.25,121723
OLMoE-1B-7B,0.9,0.1,60862
OLMoE-1B-7B,0.9,0.25,24345
OLMoE-1B-7B,0.95,0.1,30431
OLMoE-1B-7B,0.95,0.25,12172
OLMoE-1B-7B,0.99,0.1,6086
OLMoE-1B-7B,0.99,0.25,2434
OLMoE-1B-7B,0.999,0.1,609
OLMoE-1B-7B,0.999,0.25,243
Mixtral-8x7B,0.0,0.1,304308
Mixtral-8x7B,0.0,0.25,121723
Mixtral-8x7B,0.5,0.1,152154
Mixtral-8x7B,0.5,0.25,60862
Mixtral-8x7B,0.9,0.1,30431
Mixtral-8x7B,0.9,0.25,12172
Mixtral-8x7B,0.95,0.1,15215
Mixtral-8x7B,0.95,0.25,6086
Mixtral-8x7B,0.99,0.1,3043
Mixtral-8x7B,0.99,0.25,1217
Mixtral-8x7B,0.999,0.1,304
Mixtral-8x7B,0.999,0.25,122
Qwen3-235B-A22B,0.0,0.1,1217231
Qwen3-235B-A22B,0.0,0.25,486892
Qwen3-235B-A22B,0.5,0.1,608615
Qwen3-235B-A22B,0.5,0.25,243446
Qwen3-235B-A22B,0.9,0.1,121723
Qwen3-235B-A22B,0.9,0.25,48689
Qwen3-235B-A22B,0.95,0.1,60862
Qwen3-235B-A22B,0.95,0.25,24345
Qwen3-235B-A22B,0.99,0.1,12172
Qwen3-235B-A22B,0.99,0.25,4869
Qwen3-235B-A22B,0.999,0.1,1217
Qwen3-235B-A22B,0.999,0.25,487
DeepSeek-V3,0.0,0.1,2163966
DeepSeek-V3,0.0,0.25,865586
DeepSeek-V3,0.5,0.1,1081983
DeepSeek-V3,0.5,0.25,432793
DeepSeek-V3,0.9,0.1,216397
DeepSeek-V3,0.9,0.25,86559
DeepSeek-V3,0.95,0.1,108198
DeepSeek-V3,0.95,0.25,43279
DeepSeek-V3,0.99,0.1,21640
DeepSeek-V3,0.99,0.25,8656
DeepSeek-V3,0.999,0.1,2164
DeepSeek-V3,0.999,0.25,866
