model,memory,gpu,n_gpus,batch_size,policy,prefetch_depth,prefetch_width,trace_source,label,feasible,hbm_slots,total_slots,resident_frac,hit_rate,expert_hit_rate,prefetch_coverage,bytes_per_token,bytes_per_batch,compute_s,stall_s,overhead,throughput_tok_s,baseline_tok_s,slowdown,n_batches,zipf_s
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,512,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.5119585077813331,0.5,0.0,443547648.0,227096395776.0,1.1756658709536096,139.2074896249033,118.40735796131337,116.70915888825091,13935.932312733175,119.40735796131338,32,0.0
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.5119585077813331,0.5,0.0,55443456.0,227096395776.0,1.1756658709536096,16.874280576287916,14.352956050855502,907.7035241012518,13935.932312733175,15.3529560508555,4,0.0
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,512,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.5595716922841174,0.5,0.0,443547648.0,227096395776.0,1.1756658709536096,139.15151242887595,118.35974477681057,116.75571474111155,13935.932312733175,119.35974477681059,32,0.25
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.5595716922841174,0.5,0.0,55443456.0,227096395776.0,1.1756658709536096,16.818303380260573,14.305342866352717,910.5272867404981,13935.932312733175,15.305342866352715,4,0.25
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,512,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.6303808334025931,0.5,0.0,443547648.0,227096395776.0,1.1756658709536096,139.06826453831138,118.28893563569207,116.82502017868158,13935.932312733175,119.28893563569207,32,0.5
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.6303808334025931,0.5,0.0,55443456.0,227096395776.0,1.1756658709536096,16.735055489696045,14.234533725234241,914.7593594971612,13935.932312733175,15.234533725234241,4,0.5
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,512,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.7092342782527843,0.5,0.0,443547648.0,227096395776.0,1.1756658709536096,138.97555923439393,118.2100821908419,116.90229598553013,13935.932312733175,119.21008219084192,32,0.75
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.7092342782527843,0.5,0.0,55443456.0,227096395776.0,1.1756658709536096,16.642350185778554,14.155680280384052,919.5187583080918,13935.932312733175,15.15568028038405,4,0.75
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,512,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.7831769902655419,0.5000168838624044,0.0,443485440.0,227064545280.0,1.1756658709536096,138.86901890624398,118.11946092609129,116.99123052092928,13935.932312733175,119.1194609260913,32,1.0
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.7831769902655419,0.5,0.0,55443456.0,227096395776.0,1.1756658709536096,16.5554182628594,14.081737568371294,924.0269729900987,13935.932312733175,15.081737568371292,4,1.0
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,512,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.8427669443982713,0.5003617869673402,0.0,442282752.0,226448769024.0,1.1756658709536096,138.41986519645693,117.7374189523605,117.36765406972937,13935.932312733175,118.7374189523605,32,1.25
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.8427669443982713,0.5,0.0,55443456.0,227096395776.0,1.1756658709536096,16.48536038753386,14.022147614238563,927.6924092747012,13935.932312733175,15.02214761423856,4,1.25
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,512,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.8875367184902759,0.5026830420655597,0.0,434105856.0,222262198272.0,1.1756658709536096,135.78981496900667,115.50034607950678,119.62138123797901,13935.932312733175,116.5003460795068,32,1.5
Qwen3-235B-A22B,hbm_cxl_local,H100-SXM,1,4096,balanced_static,0,0.0,synthetic,balanced_static,True,6016,20579,0.5,0.8875367184902759,0.5,0.0,55443456.0,227096395776.0,1.1756658709536096,16.432726092083588,13.97737784014656,930.4654300286256,13935.932312733175,14.977377840146557,4,1.5
