model,memory,gpu,n_gpus,batch_size,policy,prefetch_depth,prefetch_width,trace_source,label,feasible,hbm_slots,total_slots,resident_frac,hit_rate,expert_hit_rate,prefetch_coverage,bytes_per_token,bytes_per_batch,compute_s,stall_s,overhead,throughput_tok_s,baseline_tok_s,slowdown,n_batches,cxl_bw_gbs,extrapolated
OLMoE-1B-7B,cxl_18,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,972,44662,0.94921875,0.9818295240402222,0.94921875,0.0,319488.0,654311424.0,0.26681778631571285,0.9017499291895112,3.379646992957633,56082.32978750902,245620.8070119222,4.379646992957634,32,18,False
OLMoE-1B-7B,cxl_26,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,972,44662,0.94921875,0.9818295240402222,0.94921875,0.0,319488.0,654311424.0,0.26681778631571285,0.5438359878561779,2.038229892263189,80843.39096175449,245620.8070119222,3.038229892263189,32,26,False
OLMoE-1B-7B,cxl_36,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,972,44662,0.94921875,0.9818295240402222,0.94921875,0.0,319488.0,654311424.0,0.26681778631571285,0.3201397745228447,1.1998442043291615,111653.7282633721,245620.8070119222,2.1998442043291613,32,36,False
OLMoE-1B-7B,cxl_52,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,972,44662,0.94921875,0.9818295240402222,0.94921875,0.0,319488.0,654311424.0,0.26681778631571285,0.14118280385617793,0.5291356539819388,160627.2186331634,245620.8070119222,1.529135653981939,32,52,False
OLMoE-1B-7B,cxl_80,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,972,44662,0.94921875,0.9818295240402222,0.94921875,0.0,319488.0,654311424.0,0.26681778631571285,0.015390246868513653,0.05768073815852404,232225.8486427204,245620.8070119222,1.057680738158524,32,80,True
OLMoE-1B-7B,cxl_128,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,972,44662,0.94921875,0.9818295240402222,0.94921875,0.0,319488.0,654311424.0,0.26681778631571285,0.0,0.0,245620.8070119222,245620.8070119222,1.0,32,128,True
Qwen3-235B-A22B,cxl_18,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,11430,25993,0.949966755319149,0.9845673175568276,0.949966755319149,0.0,11096064.0,22724739072.0,2.3513317419072193,17.887613278184187,7.607439205356506,1619.056722940394,13935.932312733175,8.607439205356508,16,18,False
Qwen3-235B-A22B,cxl_26,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,11430,25993,0.949966755319149,0.9845673175568276,0.949966755319149,0.0,11096064.0,22724739072.0,2.3513317419072193,11.672300027722647,4.964123020027356,2336.6272402391287,13935.932312733175,5.964123020027355,16,26,False
Qwen3-235B-A22B,cxl_36,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,11430,25993,0.949966755319149,0.9845673175568276,0.949966755319149,0.0,11096064.0,22724739072.0,2.3513317419072193,7.787729246184185,3.3120504041966354,3231.8574706757245,13935.932312733175,4.312050404196636,16,36,False
Qwen3-235B-A22B,cxl_52,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,11430,25993,0.949966755319149,0.9845673175568276,0.949966755319149,0.0,11096064.0,22724739072.0,2.3513317419072193,4.680072620953417,1.9903923115320605,4660.235467764901,13935.932312733175,2.9903923115320605,16,52,False
Qwen3-235B-A22B,cxl_80,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,11430,25993,0.949966755319149,0.9845673175568276,0.949966755319149,0.0,11096064.0,22724739072.0,2.3513317419072193,2.2327930285841866,0.9495865635587077,7148.147496100408,13935.932312733175,1.9495865635587077,16,80,True
Qwen3-235B-A22B,cxl_128,H100-SXM,1,2048,balanced_static,0,0.0,synthetic,balanced_static,True,11430,25993,0.949966755319149,0.9845673175568276,0.949966755319149,0.0,11096064.0,22724739072.0,2.3513317419072193,0.528437598184186,0.22473970336297935,11378.68909978739,13935.932312733175,1.2247397033629794,16,128,True
