model,batch_size,target_overhead,variant,min_resident_frac,max_offload_frac,capacity_multiplier,gpus_hbm_only,gpus_needed,gpu_saving
OLMoE-1B-7B,128,0.05,no prefetch,1.0,0.0,1.0,1,1,1.0
OLMoE-1B-7B,128,0.05,prefetch d=4 w=25%,1.0,0.0,1.0,1,1,1.0
OLMoE-1B-7B,128,0.1,no prefetch,1.0,0.0,1.0,1,1,1.0
OLMoE-1B-7B,128,0.1,prefetch d=4 w=25%,1.0,0.0,1.0,1,1,1.0
OLMoE-1B-7B,128,0.25,no prefetch,1.0,0.0,1.0,1,1,1.0
OLMoE-1B-7B,128,0.25,prefetch d=4 w=25%,1.0,0.0,1.0,1,1,1.0
OLMoE-1B-7B,128,0.5,no prefetch,0.999,0.001,1.0,1,1,1.0
OLMoE-1B-7B,128,0.5,prefetch d=4 w=25%,0.999,0.001,1.0,1,1,1.0
OLMoE-1B-7B,128,1.0,no prefetch,0.998,0.002,1.0,1,1,1.0
OLMoE-1B-7B,128,1.0,prefetch d=4 w=25%,0.998,0.002,1.0,1,1,1.0
OLMoE-1B-7B,512,0.05,no prefetch,1.0,0.0,1.0,1,1,1.0
OLMoE-1B-7B,512,0.05,prefetch d=4 w=25%,0.9688,0.0312,1.03,1,1,1.0
OLMoE-1B-7B,512,0.1,no prefetch,0.999,0.001,1.0,1,1,1.0
OLMoE-1B-7B,512,0.1,prefetch d=4 w=25%,0.9678,0.0322,1.03,1,1,1.0
OLMoE-1B-7B,512,0.25,no prefetch,0.9961,0.0039,1.0,1,1,1.0
OLMoE-1B-7B,512,0.25,prefetch d=4 w=25%,0.9648,0.0352,1.04,1,1,1.0
OLMoE-1B-7B,512,0.5,no prefetch,0.9912,0.0088,1.01,1,1,1.0
OLMoE-1B-7B,512,0.5,prefetch d=4 w=25%,0.96,0.04,1.04,1,1,1.0
OLMoE-1B-7B,512,1.0,no prefetch,0.9834,0.0166,1.02,1,1,1.0
OLMoE-1B-7B,512,1.0,prefetch d=4 w=25%,0.9521,0.0479,1.05,1,1,1.0
Mixtral-8x7B,128,0.05,no prefetch,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,128,0.05,prefetch d=4 w=25%,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,128,0.1,no prefetch,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,128,0.1,prefetch d=4 w=25%,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,128,0.25,no prefetch,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,128,0.25,prefetch d=4 w=25%,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,128,0.5,no prefetch,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,128,0.5,prefetch d=4 w=25%,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,128,1.0,no prefetch,0.9951,0.0049,1.0,2,2,1.0
Mixtral-8x7B,128,1.0,prefetch d=4 w=25%,0.9951,0.0049,1.0,2,2,1.0
Mixtral-8x7B,512,0.05,no prefetch,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,512,0.05,prefetch d=4 w=25%,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,512,0.1,no prefetch,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,512,0.1,prefetch d=4 w=25%,0.998,0.002,1.0,2,2,1.0
Mixtral-8x7B,512,0.25,no prefetch,0.9951,0.0049,1.0,2,2,1.0
Mixtral-8x7B,512,0.25,prefetch d=4 w=25%,0.9951,0.0049,1.0,2,2,1.0
Mixtral-8x7B,512,0.5,no prefetch,0.9902,0.0098,1.01,2,2,1.0
Mixtral-8x7B,512,0.5,prefetch d=4 w=25%,0.9902,0.0098,1.01,2,2,1.0
