sweep,batch,residency,depth,tier_bw_gbs,wall_s,compute_s,stall_s,stall_fraction,tokens_per_second,staging_gb,b_star
batch,256,0.3,1,40.8,0.2217826,0.01223209,0.2095505,0.944846,1154.3,1.127,4625
batch,512,0.3,1,40.8,0.2225471,0.02446418,0.198083,0.890072,2300.6,1.127,4625
batch,1024,0.3,1,40.8,0.2240762,0.04892836,0.1751478,0.781644,4569.9,1.127,4625
batch,2048,0.3,1,40.8,0.2271342,0.09785672,0.1292775,0.569168,9016.7,1.127,4625
batch,4096,0.3,1,40.8,0.2332502,0.1957134,0.03753678,0.160929,17560.5,1.127,4625
batch,4626,0.3,1,40.8,0.2348513,0.2210377,0.01381363,0.058819,19697.6,1.127,4625
batch,8192,0.3,1,40.8,0.4052405,0.3914269,0.01381363,0.034087,20215.2,1.127,4625
batch,16384,0.3,1,40.8,0.7966674,0.7828538,0.01381363,0.017339,20565.7,1.127,4625
batch,32768,0.3,1,40.8,1.579521,1.565708,0.01381363,0.008745,20745.5,1.127,4625
residency,4096,1.0,1,40.8,0.1957134,0.1957134,0.0,0.0,20928.6,0.0,0
residency,4096,0.6,1,40.8,0.2036071,0.1957134,0.007893633,0.038769,20117.2,0.644,2643
residency,4096,0.4,1,40.8,0.2075537,0.1957134,0.0118403,0.057047,19734.6,0.966,3965
residency,4096,0.3,1,40.8,0.2332502,0.1957134,0.03753678,0.160929,17560.5,1.127,4625
residency,4096,0.2,1,40.8,0.2648236,0.1957134,0.06911011,0.260967,15466.9,1.288,5286
residency,4096,0.1,1,40.8,0.2963969,0.1957134,0.1006834,0.339691,13819.3,1.449,5947
residency,4096,0.0,1,40.8,0.3279702,0.1957134,0.1322568,0.403258,12488.9,1.61,6608
depth,4096,0.3,1,40.8,0.2332502,0.1957134,0.03753678,0.160929,17560.5,1.127,4625
depth,4096,0.3,2,40.8,0.2332502,0.1957134,0.03753678,0.160929,17560.5,1.691,4625
depth,4096,0.3,4,40.8,0.2332502,0.1957134,0.03753678,0.160929,17560.5,2.818,4625
depth,4096,0.3,8,40.8,0.2332502,0.1957134,0.03753678,0.160929,17560.5,5.072,4625
bandwidth,4096,0.3,1,16.88,0.5464397,0.1957134,0.3507263,0.641839,7495.8,1.127,11180
bandwidth,4096,0.3,1,40.8,0.2332502,0.1957134,0.03753678,0.160929,17560.5,1.127,4625
bandwidth,4096,0.3,1,67.5,0.2040631,0.1957134,0.008349693,0.040917,20072.2,1.127,2796
