model,context,tier,kv_GB_per_seq,read_ms_per_step,compute_ms_per_step,bound,steps_per_s
OLMoE-1B-7B,4096,HBM3e,0.5,0.16,0.0027,memory,6240
OLMoE-1B-7B,4096,CXL 1ch,0.5,31.805,0.0027,memory,31
OLMoE-1B-7B,4096,CXL 4ch,0.5,7.954,0.0027,memory,126
OLMoE-1B-7B,32768,HBM3e,4.0,1.282,0.0217,memory,780
OLMoE-1B-7B,32768,CXL 1ch,4.0,254.441,0.0217,memory,4
OLMoE-1B-7B,32768,CXL 4ch,4.0,63.629,0.0217,memory,16
OLMoE-1B-7B,131072,HBM3e,16.0,5.128,0.0869,memory,195
OLMoE-1B-7B,131072,CXL 1ch,16.0,1017.765,0.0869,memory,1
OLMoE-1B-7B,131072,CXL 4ch,16.0,254.517,0.0869,memory,4
Mixtral-8x7B,4096,HBM3e,0.5,0.16,0.0109,memory,6240
Mixtral-8x7B,4096,CXL 1ch,0.5,31.805,0.0109,memory,31
Mixtral-8x7B,4096,CXL 4ch,0.5,7.954,0.0109,memory,126
Mixtral-8x7B,32768,HBM3e,4.0,1.282,0.0869,memory,780
Mixtral-8x7B,32768,CXL 1ch,4.0,254.441,0.0869,memory,4
Mixtral-8x7B,32768,CXL 4ch,4.0,63.629,0.0869,memory,16
Mixtral-8x7B,131072,HBM3e,16.0,5.128,0.3474,memory,195
Mixtral-8x7B,131072,CXL 1ch,16.0,1017.765,0.3474,memory,1
Mixtral-8x7B,131072,CXL 4ch,16.0,254.517,0.3474,memory,4
Qwen3-235B-A22B,4096,HBM3e,0.734,0.235,0.0638,memory,4248
Qwen3-235B-A22B,4096,CXL 1ch,0.734,46.714,0.0638,memory,21
Qwen3-235B-A22B,4096,CXL 4ch,0.734,11.682,0.0638,memory,86
Qwen3-235B-A22B,32768,HBM3e,5.875,1.883,0.5103,memory,531
Qwen3-235B-A22B,32768,CXL 1ch,5.875,373.71,0.5103,memory,3
Qwen3-235B-A22B,32768,CXL 4ch,5.875,93.455,0.5103,memory,11
Qwen3-235B-A22B,131072,HBM3e,23.5,7.532,2.0411,memory,133
Qwen3-235B-A22B,131072,CXL 1ch,23.5,1494.842,2.0411,memory,1
Qwen3-235B-A22B,131072,CXL 4ch,23.5,373.821,2.0411,memory,3
DeepSeek-V3,4096,HBM3e,15.25,4.888,0.0828,memory,205
DeepSeek-V3,4096,CXL 1ch,15.25,970.057,0.0828,memory,1
DeepSeek-V3,4096,CXL 4ch,15.25,242.586,0.0828,memory,4
DeepSeek-V3,32768,HBM3e,122.0,39.103,0.6623,memory,26
DeepSeek-V3,32768,CXL 1ch,122.0,7760.456,0.6623,memory,0
DeepSeek-V3,32768,CXL 4ch,122.0,1940.689,0.6623,memory,1
DeepSeek-V3,131072,HBM3e,488.0,156.414,2.6491,memory,6
DeepSeek-V3,131072,CXL 1ch,488.0,31041.825,2.6491,memory,0
DeepSeek-V3,131072,CXL 4ch,488.0,7762.756,2.6491,memory,0
