model,nodes,pool_GB,per_node_bw_gbs,dedicated_GB_needed,pooled_GB_needed,capacity_saving,critical_batch_h90,vs_single_node,pool_fits_model
OLMoE-1B-7B,1,2048.0,67.5,12.0,12.0,1,46885,0.25,True
OLMoE-1B-7B,2,2048.0,33.75,24.0,12.0,2,93771,0.5,True
OLMoE-1B-7B,4,2048.0,16.88,48.0,12.0,4,187543,1.0,True
OLMoE-1B-7B,8,2048.0,8.44,96.0,12.0,8,375087,2.0,True
OLMoE-1B-7B,16,2048.0,4.22,192.0,12.0,16,750174,4.0,True
Mixtral-8x7B,1,2048.0,67.5,84.0,84.0,1,23442,0.25,True
Mixtral-8x7B,2,2048.0,33.75,168.0,84.0,2,46885,0.5,True
Mixtral-8x7B,4,2048.0,16.88,336.0,84.0,4,93771,1.0,True
Mixtral-8x7B,8,2048.0,8.44,672.0,84.0,8,187543,2.0,True
Mixtral-8x7B,16,2048.0,4.22,1344.0,84.0,16,375087,4.0,True
Qwen3-235B-A22B,1,2048.0,67.5,423.0,423.0,1,93771,0.25,True
Qwen3-235B-A22B,2,2048.0,33.75,846.0,423.0,2,187543,0.5,True
Qwen3-235B-A22B,4,2048.0,16.88,1692.0,423.0,4,375087,1.0,True
Qwen3-235B-A22B,8,2048.0,8.44,3384.0,423.0,8,750174,2.0,True
Qwen3-235B-A22B,16,2048.0,4.22,6768.0,423.0,16,1500349,4.0,True
DeepSeek-V3,1,2048.0,67.5,1218.0,1218.0,1,166705,0.25,True
DeepSeek-V3,2,2048.0,33.75,2436.0,1218.0,2,333411,0.5,True
DeepSeek-V3,4,2048.0,16.88,4872.0,1218.0,4,666822,1.0,True
DeepSeek-V3,8,2048.0,8.44,9744.0,1218.0,8,1333644,2.0,True
DeepSeek-V3,16,2048.0,4.22,19488.0,1218.0,16,2667288,4.0,True
