model,latency_ns,bw_gbs,granularity,transfers,transfer_ms,latency_ms,latency_share
OLMoE-1B-7B,200,16.88,4 KB,3072,0.7454,0.6144,0.4518
OLMoE-1B-7B,200,16.88,64 KB,192,0.7454,0.0384,0.049
OLMoE-1B-7B,200,16.88,512 KB,24,0.7454,0.0048,0.0064
OLMoE-1B-7B,200,16.88,4096 KB,3,0.7454,0.0006,0.0008
OLMoE-1B-7B,200,16.88,whole expert,1,0.7454,0.0002,0.0003
OLMoE-1B-7B,200,67.5,4 KB,3072,0.1864,0.6144,0.7672
OLMoE-1B-7B,200,67.5,64 KB,192,0.1864,0.0384,0.1708
OLMoE-1B-7B,200,67.5,512 KB,24,0.1864,0.0048,0.0251
OLMoE-1B-7B,200,67.5,4096 KB,3,0.1864,0.0006,0.0032
OLMoE-1B-7B,200,67.5,whole expert,1,0.1864,0.0002,0.0011
OLMoE-1B-7B,300,16.88,4 KB,3072,0.7454,0.9216,0.5528
OLMoE-1B-7B,300,16.88,64 KB,192,0.7454,0.0576,0.0717
OLMoE-1B-7B,300,16.88,512 KB,24,0.7454,0.0072,0.0096
OLMoE-1B-7B,300,16.88,4096 KB,3,0.7454,0.0009,0.0012
OLMoE-1B-7B,300,16.88,whole expert,1,0.7454,0.0003,0.0004
OLMoE-1B-7B,300,67.5,4 KB,3072,0.1864,0.9216,0.8318
OLMoE-1B-7B,300,67.5,64 KB,192,0.1864,0.0576,0.2361
OLMoE-1B-7B,300,67.5,512 KB,24,0.1864,0.0072,0.0372
OLMoE-1B-7B,300,67.5,4096 KB,3,0.1864,0.0009,0.0048
OLMoE-1B-7B,300,67.5,whole expert,1,0.1864,0.0003,0.0016
OLMoE-1B-7B,400,16.88,4 KB,3072,0.7454,1.2288,0.6224
OLMoE-1B-7B,400,16.88,64 KB,192,0.7454,0.0768,0.0934
OLMoE-1B-7B,400,16.88,512 KB,24,0.7454,0.0096,0.0127
OLMoE-1B-7B,400,16.88,4096 KB,3,0.7454,0.0012,0.0016
OLMoE-1B-7B,400,16.88,whole expert,1,0.7454,0.0004,0.0005
OLMoE-1B-7B,400,67.5,4 KB,3072,0.1864,1.2288,0.8683
OLMoE-1B-7B,400,67.5,64 KB,192,0.1864,0.0768,0.2918
OLMoE-1B-7B,400,67.5,512 KB,24,0.1864,0.0096,0.049
OLMoE-1B-7B,400,67.5,4096 KB,3,0.1864,0.0012,0.0064
OLMoE-1B-7B,400,67.5,whole expert,1,0.1864,0.0004,0.0021
OLMoE-1B-7B,600,16.88,4 KB,3072,0.7454,1.8432,0.712
OLMoE-1B-7B,600,16.88,64 KB,192,0.7454,0.1152,0.1339
OLMoE-1B-7B,600,16.88,512 KB,24,0.7454,0.0144,0.019
