profiled_on,deployed_on,resident_frac,routing_hit,fetch_hit,overhead
prose,prose,0.25,0.4339,0.2506,136.489
prose,prose,0.5,0.7094,0.5012,90.422
prose,prose,0.75,0.9,0.7518,44.439
prose,math,0.25,0.3244,0.2508,136.125
prose,math,0.5,0.5835,0.5017,90.18
prose,math,0.75,0.7989,0.7519,44.383
prose,code,0.25,0.159,0.2458,134.228
prose,code,0.5,0.3825,0.4992,88.855
prose,code,0.75,0.5898,0.7508,43.824
prose,chat,0.25,0.2885,0.25,137.024
prose,chat,0.5,0.5505,0.5001,90.981
prose,chat,0.75,0.7888,0.7501,44.971
math,prose,0.25,0.2823,0.2502,136.704
math,prose,0.5,0.5522,0.5008,90.653
math,prose,0.75,0.7878,0.7507,44.752
math,math,0.25,0.5614,0.2514,135.783
math,math,0.5,0.7899,0.5028,89.763
math,math,0.75,0.9349,0.7542,43.826
math,code,0.25,0.4089,0.2522,132.842
math,code,0.5,0.6238,0.5019,88.14
math,code,0.75,0.8251,0.7547,42.894
math,chat,0.25,0.2663,0.2501,137.036
math,chat,0.5,0.5575,0.5,90.984
math,chat,0.75,0.8025,0.7501,44.958
code,prose,0.25,0.2037,0.249,137.014
code,prose,0.5,0.4484,0.4995,90.999
code,prose,0.75,0.7249,0.7499,44.962
code,math,0.25,0.3896,0.2511,136.008
code,math,0.5,0.6178,0.5025,89.998
code,math,0.75,0.8301,0.7538,44.004
code,code,0.25,0.6356,0.257,131.763
code,code,0.5,0.8402,0.514,85.767
code,code,0.75,0.9528,0.7705,39.946
code,chat,0.25,0.2282,0.2501,137.074
code,chat,0.5,0.4696,0.5002,91.041
code,chat,0.75,0.7499,0.7503,44.968
chat,prose,0.25,0.2821,0.2495,136.831
chat,prose,0.5,0.5383,0.4997,90.877
chat,prose,0.75,0.7822,0.7498,44.926
chat,math,0.25,0.2609,0.2505,136.252
chat,math,0.5,0.4959,0.4997,90.625
chat,math,0.75,0.7763,0.7498,44.795
chat,code,0.25,0.1953,0.2485,133.719
chat,code,0.5,0.4121,0.4965,89.309
chat,code,0.75,0.699,0.746,44.556
chat,chat,0.25,0.4066,0.25,136.906
chat,chat,0.5,0.686,0.5001,90.835
chat,chat,0.75,0.8858,0.7501,44.875
