domain,resident_frac,batch_size,routing_hit,fetch_hit,coverage,overhead
prose,0.25,16,0.4353,0.3163,0.669,5359.4881
prose,0.25,64,0.4354,0.2702,0.895,1914.2887
prose,0.25,256,0.4354,0.2555,0.974,531.059
prose,0.25,1024,0.4339,0.2506,0.997,136.4894
prose,0.25,4096,0.4322,0.25,1.0,33.9117
prose,0.25,16384,0.4322,0.25,1.0,8.1538
prose,0.5,16,0.7109,0.6138,0.669,3026.5094
prose,0.5,64,0.711,0.5419,0.895,1201.2154
prose,0.5,256,0.711,0.5112,0.974,348.2305
prose,0.5,1024,0.7094,0.5012,0.997,90.422
prose,0.5,4096,0.7079,0.5,1.0,22.188
prose,0.5,16384,0.7079,0.5,1.0,5.0161
prose,0.75,16,0.9009,0.8559,0.669,1129.0356
prose,0.75,64,0.9009,0.8014,0.895,520.0625
prose,0.75,256,0.9009,0.7656,0.974,166.4048
prose,0.75,1024,0.9,0.7518,0.997,44.4394
prose,0.75,4096,0.8995,0.75,1.0,10.5485
prose,0.75,16384,0.8995,0.75,1.0,1.9625
prose,0.9,16,0.9749,0.9597,0.669,315.4187
prose,0.9,64,0.9749,0.9352,0.895,168.9157
prose,0.9,256,0.9749,0.9115,0.974,62.1905
prose,0.9,1024,0.9747,0.9009,0.997,17.1232
prose,0.9,4096,0.9746,0.8994,1.0,3.6314
prose,0.9,16384,0.9746,0.8994,1.0,0.1769
prose,0.95,16,0.9912,0.9857,0.669,111.7807
prose,0.95,64,0.9912,0.9741,0.895,67.0613
prose,0.95,256,0.9912,0.9588,0.974,28.4701
prose,0.95,1024,0.9911,0.9505,0.997,8.0578
prose,0.95,4096,0.991,0.9492,1.0,1.3343
prose,0.95,16384,0.991,0.9492,1.0,0.0
prose,0.99,16,0.9989,0.998,0.669,15.215
prose,0.99,64,0.9989,0.996,0.895,10.1739
prose,0.99,256,0.9989,0.9927,0.974,4.7836
prose,0.99,1024,0.9989,0.9899,0.997,1.1991
prose,0.99,4096,0.9989,0.9893,1.0,0.0
prose,0.99,16384,0.9989,0.9893,1.0,0.0
math,0.25,16,0.5601,0.3526,0.624,4738.2277
math,0.25,64,0.5606,0.2826,0.874,1836.4462
math,0.25,256,0.5606,0.2568,0.973,529.1702
math,0.25,1024,0.5614,0.2514,0.994,135.7831
math,0.25,4096,0.5613,0.2501,1.0,33.7603
math,0.25,16384,0.5613,0.25,1.0,8.0247
math,0.5,16,0.7893,0.6491,0.624,2568.2407
math,0.5,64,0.7895,0.5591,0.874,1128.025
math,0.5,256,0.7895,0.5134,0.973,346.0357
math,0.5,1024,0.7899,0.5028,0.994,89.7627
math,0.5,4096,0.7899,0.5002,1.0,22.0837
math,0.5,16384,0.7899,0.5,1.0,4.9341
math,0.75,16,0.9347,0.8753,0.624,912.2669
math,0.75,64,0.9348,0.8164,0.874,469.2193
math,0.75,256,0.9348,0.769,0.973,163.7205
math,0.75,1024,0.9349,0.7542,0.994,43.8259
math,0.75,4096,0.9349,0.7504,1.0,10.4907
math,0.75,16384,0.9349,0.75,1.0,1.9271
math,0.9,16,0.9838,0.9672,0.624,239.4947
math,0.9,64,0.9838,0.9451,0.874,139.6764
math,0.9,256,0.9838,0.9185,0.973,57.1034
math,0.9,1024,0.9838,0.9044,0.994,16.4196
math,0.9,4096,0.9839,0.8999,1.0,3.5998
math,0.9,16384,0.9839,0.8994,1.0,0.1676
math,0.95,16,0.9943,0.9883,0.624,85.2766
math,0.95,64,0.9943,0.979,0.874,53.0038
math,0.95,256,0.9943,0.965,0.973,24.0322
math,0.95,1024,0.9943,0.9544,0.994,7.3149
math,0.95,4096,0.9943,0.9497,1.0,1.3087
math,0.95,16384,0.9943,0.9492,1.0,0.0
math,0.99,16,0.9997,0.9994,0.624,4.3186
math,0.99,64,0.9997,0.9986,0.874,3.5686
math,0.99,256,0.9997,0.9963,0.973,2.3823
math,0.99,1024,0.9997,0.9928,0.994,0.8491
math,0.99,4096,0.9997,0.9895,1.0,0.0
math,0.99,16384,0.9997,0.9893,1.0,0.0
code,0.25,16,0.6362,0.4111,0.535,3693.622
code,0.25,64,0.636,0.3214,0.762,1514.0136
code,0.25,256,0.636,0.2762,0.903,478.4355
code,0.25,1024,0.6356,0.257,0.973,131.7632
code,0.25,4096,0.6356,0.2513,0.995,33.4735
code,0.25,16384,0.6356,0.2502,0.999,7.9392
code,0.5,16,0.8405,0.7053,0.535,1848.0077
code,0.5,64,0.8403,0.6183,0.762,851.1989
code,0.5,256,0.8403,0.5506,0.903,296.6558
code,0.5,1024,0.8402,0.514,0.973,85.7666
code,0.5,4096,0.8403,0.5026,0.995,21.8209
code,0.5,16384,0.8403,0.5005,0.999,4.8725
code,0.75,16,0.9529,0.9033,0.535,605.7412
code,0.75,64,0.9529,0.8592,0.762,313.3841
code,0.75,256,0.9529,0.8109,0.903,124.2199
code,0.75,1024,0.9528,0.7705,0.973,39.9464
code,0.75,4096,0.953,0.7539,0.995,10.2602
code,0.75,16384,0.953,0.7507,0.999,1.8978
code,0.9,16,0.9907,0.9788,0.535,132.318
code,0.9,64,0.9907,0.9656,0.762,76.2134
code,0.9,256,0.9907,0.9449,0.903,35.5851
code,0.9,1024,0.9907,0.9192,0.973,13.4108
code,0.9,4096,0.9908,0.9033,0.995,3.414
code,0.9,16384,0.9908,0.9003,0.999,0.1495
code,0.95,16,0.997,0.9926,0.535,46.1071
code,0.95,64,0.997,0.9873,0.762,27.8874
code,0.95,256,0.997,0.9782,0.903,13.7368
code,0.95,1024,0.997,0.9647,0.973,5.3545
code,0.95,4096,0.9971,0.9531,0.995,1.1426
code,0.95,16384,0.9971,0.9501,0.999,0.0
code,0.99,16,0.9999,0.9997,0.535,1.9093
code,0.99,64,0.9999,0.9993,0.762,1.5477
code,0.99,256,0.9999,0.998,0.903,1.1957
code,0.99,1024,0.9999,0.9952,0.973,0.5614
code,0.99,4096,0.9999,0.9914,0.995,0.0
code,0.99,16384,0.9999,0.9902,0.999,0.0
chat,0.25,16,0.4072,0.3213,0.648,5157.3624
chat,0.25,64,0.4072,0.2683,0.882,1890.2116
chat,0.25,256,0.4072,0.2523,0.986,539.5724
chat,0.25,1024,0.4066,0.25,1.0,136.9059
chat,0.25,4096,0.4056,0.25,1.0,33.9383
chat,0.25,16384,0.4056,0.25,1.0,8.1804
chat,0.5,16,0.6868,0.6021,0.648,3023.6387
chat,0.5,64,0.6868,0.5294,0.882,1215.1364
chat,0.5,256,0.6868,0.5038,0.986,357.6368
chat,0.5,1024,0.686,0.5001,1.0,90.8346
chat,0.5,4096,0.6849,0.5,1.0,22.211
chat,0.5,16384,0.6849,0.5,1.0,5.0391
chat,0.75,16,0.8864,0.833,0.648,1268.6116
chat,0.75,64,0.8863,0.7768,0.882,575.8053
chat,0.75,256,0.8863,0.7526,0.986,177.7565
chat,0.75,1024,0.8858,0.7501,1.0,44.8746
chat,0.75,4096,0.8852,0.75,1.0,10.5628
chat,0.75,16384,0.8852,0.75,1.0,1.9768
chat,0.9,16,0.9657,0.9428,0.648,433.9482
chat,0.9,64,0.9657,0.9161,0.882,215.9079
chat,0.9,256,0.9657,0.9009,0.986,70.6144
chat,0.9,1024,0.9655,0.8994,1.0,17.4481
chat,0.9,4096,0.9652,0.8994,1.0,3.6408
chat,0.9,16384,0.9652,0.8994,1.0,0.1863
chat,0.95,16,0.9853,0.9748,0.648,191.1464
chat,0.95,64,0.9853,0.9607,0.882,100.6269
chat,0.95,256,0.9853,0.9504,0.986,34.8601
chat,0.95,1024,0.9852,0.9492,1.0,8.3163
chat,0.95,4096,0.9851,0.9492,1.0,1.3403
chat,0.95,16384,0.9851,0.9492,1.0,0.0
chat,0.99,16,0.9976,0.9957,0.648,32.5095
chat,0.99,64,0.9976,0.9926,0.882,18.7807
chat,0.99,256,0.9976,0.9896,0.986,6.8359
