domain,batch_size,min_resident_frac,offloadable_frac
prose,16,1.0,0.0
prose,64,1.0,0.0
prose,256,1.0,0.0
prose,1024,0.999,0.001
prose,4096,0.9814,0.0186
prose,16384,0.9062,0.0938
math,16,1.0,0.0
math,64,1.0,0.0
math,256,1.0,0.0
math,1024,1.0,0.0
math,4096,0.9814,0.0186
math,16384,0.9053,0.0947
code,16,0.999,0.001
code,64,0.999,0.001
code,256,0.999,0.001
code,1024,0.998,0.002
code,4096,0.9795,0.0205
code,16384,0.9043,0.0957
chat,16,1.0,0.0
chat,64,1.0,0.0
chat,256,1.0,0.0
chat,1024,1.0,0.0
chat,4096,0.9814,0.0186
chat,16384,0.9072,0.0928
