domain,cxl,bw,batch,tokens,offloadable
prose,cxl_measured,16.88,4096,37355,0.0186
prose,cxl_measured,16.88,16384,37355,0.0938
prose,cxl_measured_4ch,67.5,4096,37355,0.0938
prose,cxl_measured_4ch,67.5,16384,37355,0.3291
math,cxl_measured,16.88,4096,63257,0.0186
math,cxl_measured,16.88,16384,63257,0.0947
math,cxl_measured_4ch,67.5,4096,63257,0.0947
math,cxl_measured_4ch,67.5,16384,63257,0.3447
code,cxl_measured,16.88,4096,139778,0.0254
code,cxl_measured,16.88,16384,139778,0.0977
code,cxl_measured,16.88,65536,139778,0.3535
code,cxl_measured,16.88,131072,139778,0.5947
code,cxl_measured_4ch,67.5,4096,139778,0.1025
code,cxl_measured_4ch,67.5,16384,139778,0.3555
code,cxl_measured_4ch,67.5,65536,139778,0.8223
code,cxl_measured_4ch,67.5,131072,139778,0.9404
chat,cxl_measured,16.88,4096,18239,0.0186
chat,cxl_measured,16.88,16384,18239,0.0928
chat,cxl_measured_4ch,67.5,4096,18239,0.0928
chat,cxl_measured_4ch,67.5,16384,18239,0.3252
